basic;highMutProb;lowCrossProb;moreIter;bigPop;
792;832;788;783;929;
908;804;853;692;912;
795;762;771;816;881;
844;790;807;815;939;
881;791;778;824;865;
718;852;816;761;841;
845;849;820;803;877;
793;796;798;780;880;
814;839;820;825;917;
822;777;859;817;838;
835;811;781;732;808;
799;844;807;816;903;
847;770;803;782;952;
800;800;829;774;899;
885;860;898;812;891;
792;882;864;690;852;
813;814;824;689;943;
877;837;838;806;863;
772;839;812;709;932;
850;791;770;762;919;
763;813;802;727;892;
848;832;804;801;856;
855;782;796;822;861;
819;849;846;762;892;
736;811;826;779;838;
749;784;869;725;851;
891;808;825;766;840;
843;763;877;674;919;
886;848;799;788;944;
825;817;850;769;847;
